name,rating,review
Phan Ty,1,Mua ip13 pro max nâng cấp ios 16 bị lỗi đem ra bảo hành thì hẹn 15 ngày. Đủ 15 ngày lại hẹn tiếp 12 đến 14 ngày nữa. Công nhận mần ăn ok ghê.
Phương Uyên,5,một thiết bị di động lý tưởng để giải quyết nhanh công việc
 Vũ Thuận,5,Cảm ứng quá mượt. lướt giải trí cực nhanh
Võ Thị Thu Thảo,1,Quá tệ
 Quang,5,"Không có gì để chê, mình dùng 12 PRM, đợi đến giwof giá máy rất tốt mới xuống tiền mua, không phụ kỳ vọng tí nào luôn ấy, nâng cấp cải thiện lớn giữa 2 sản phẩm"
Trọng Hiếu,5," chiếc điện thoại đem đến không gian giải trí mãn nhãn, giải quyết nhanh công việc với màn hình thực sự xuất sắc."
Tuấn Đạt,4,Hài lòng với chất lượng sản phẩm và dịch vụ của chi nhánh giang liễu - bắc ninh
 Lê Kim Hậu,5,kết nối luôn ổn định và nhanh
 ANH HƯNG ,5,giá quá tốt cho 1 em nhà táo rồi
Chu Bảo Hòa,5,"Điện thoại xịn sò, chụp ảnh đẹp"
 TRƯỜNG,5,"Hiệu năng màn hình camera đều tuyệt vời, cảm giác mượt mà rất xứng đáng với số tiền bỏ ra"
Mỹ Liên,5,"Pin khoẻ, cảm ứng rất mượt, nhân viên chú đáo dễ thương, 10 điểm "
Nguyễn Trang,5,"Máy mới mua, xài thấy mượt, tốt so với tầm giá, nhân viên chu đáo"
Ngọc Duyên,5,"máy mới nguyên seal, nhân viên tư vấn nhiệt tình, chào đón niềm nở"
Vũ Huyền My,5,"Điện thoại cảm ứng mượt, lướt êm, pin khỏe"
Lê Quyết,5,Mới mua đc 1 tuần Sản phẩm rất tốt nhân viên siêu nhiệt tình ạ sẽ giới thiệu người thân
Nguyễn Ngọc Hà,5,"Máy dùng rất êm và mượt, chụp ảnh nét dùng rất thích "
Ngân Thanh,5,"cảm ứng mượt mà , dùng không nóng máy, tiết kiệm điện, nhân viên shop tư vấn nhiệt tình "
Ngọc Ánh,5,"cảm ứng mượt mà , sắc nét, dùng không nóng máy, nhân viên shop tư vấn nhiệt tình"
