name,rating,review
 Chị Nhi ,5,"màn hình đục lỗ cực đẹp luôn ấy, trông cực kỳ sang trọng"
Vũ Luyến,4,mình dùng được 1 năm rồi ngoại bắt mạng kém thì mọi thứ ổn
Đào Thiên Bảo,4,messenger không thông báo tin nhắn là lỗi gì vậy
Huỳnh Quang Thuần,5,sản phẩm dùng quá tốt cam và thiết kế đẹp
 LÊ ANH HÙNG,5,"tiêu chí pin khỏe, 2 sim 2 sóng giá lại dưới 500k, rất đáng tiền mua"
 Lê Lan,5,"không có gì để chê, máy đẹp hiệu năng cực kỳ ổn định luôn ấy"
 Lê Phước Thùy Dung ,5,"giá cực tốt mà hỗ trợ cả 5g nữa, tuy nhiên hiện khá hiếm hàng nên mình đợi khá lâu mới có hàng về"
Nam,5,xiaomi có giá này cực rẻ
 Nguyễn Thị Hường ,5,"chất lượng hình ảnh hay khi quay video rất chân thực, ngay cả khi chụp những chỗ tối cũng thấy được nước ảnh cực chất"
Lê Ngọc ,5,"màn hình màu sắc tươi, sóng sánh ổn, hiệu năng rất tốt trong mức giá này"
Trọng,5,mỗi lần đến mua sắm cảm giác vui
Phạm Châu,5,mọi thứ đều tốt pin trâu màn đẹp
 Đinh Sỹ Hiếu,5, chất lượng sản phẩm tuyệt vời! sẽ ủng hộ tiếp
 HUỲNH THỊ KIM NGỌC,5, chụp hình chất lượng ảnh đẹp
Trần Quốc Đạt,5,ứng dụng mua bán rất hay
Huỳnh Lê Thanh Hải,5, vấn đề nữa là máy không thể xem video 4k trên youtube được dù máy có độ phân giải fhd+ ( đã có hình minh hoạ )
Ánh Hồng,5,"điện thoại màn hình mượt mà, cấu hình phá đảo, bộ tứ camera cực đỉnh"
 Anh Vinh ,5,"quay video không rung, chất lượng hình ảnh siêu nét, "
Mai Khoa,5,chất lượng sản phẩm dùng rất tốt lại phù hợp với giá tiền 
Ánh Dương,5,từ hồi mua sản phẩm này là ưng và mua về cho cha mẹ sài tốt nhất tầm giá này
BẢO,5,"hàng quá xịn, không chê vào đâu được"
Nguỹen T T Trang,4, có cuộc gọi đi khi xong muốn kết thúc tắt nhưng màn hình không hiển thị 
Hồ Minh Tường,5, nói chung rất hài lòng với sản phẩm iphone 13 promax này
Nguyễn Thị Thuỳ Liên,5, đặt trên web giữ hàng rồi ra lấy nhanh gọn lẹ
ĐINH THI MAI,5,sản phẩm xài rất tốt mạng khỏe
Phan Quãng Giao,5,kiểu dáng sang trọng nhiều tính năng nổi bật
Trang Trang,5, nhan vien tu van nhiet tinh
Lê Thị Thu Phương,5,chất lượng từng bức hình được cải thiện đáng kể ngay cả khi thiếu ánh sáng
Tiên GD,4,"mọi chức năng ổn, mình xài nhẹ nhàng thôi"
Hung,4," còn đủ bộ sạc, tai nghe"
ngọc anh,5,"nghe to, gọi rõ, đặc biệt pin dùng được mấy ngày, mình rất hài lòng"
